WARNING | retriever | [RETRIEVER] Failed to load ..\data\claude\claude-api-and-console\using-the-claude-api-and-console\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md: [Errno 2] No such file or directory: '..\\data\\claude\\claude-api-and-console\\using-the-claude-api-and-console\\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md'
WARNING | auditor | [AUDITOR] Phase 1 FAIL — Fidelity=0.00 < 0.35
WARNING | safety | [SAFETY_TRIGGER] VISA_FRAUD_RISK
ERROR | generator | [GENERATOR] Groq API error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kqhfszv8fw6rkht7d9cwv0ar` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 98234, Requested 3360. Please try again in 22m57.216s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
WARNING | auditor | [AUDITOR] Phase 1 FAIL — Fidelity=0.00 < 0.35
WARNING | retriever | [RETRIEVER] Failed to load ..\data\claude\claude-api-and-console\using-the-claude-api-and-console\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md: [Errno 2] No such file or directory: '..\\data\\claude\\claude-api-and-console\\using-the-claude-api-and-console\\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md'
ERROR | generator | [GENERATOR] Groq API error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kqhfszv8fw6rkht7d9cwv0ar` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 97630, Requested 5489. Please try again in 44m54.816s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
ERROR | auditor | [AUDITOR] Phase 2 LLM call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kqhfszv8fw6rkht7d9cwv0ar` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 97630, Requested 4216. Please try again in 26m34.944s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
WARNING | auditor | [AUDITOR] Phase 2 FAIL — Hallucination detected
WARNING | retriever | [RETRIEVER] No company-specific chunks for 'None', using global top-k
ERROR | generator | [GENERATOR] Groq API error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kqhfszv8fw6rkht7d9cwv0ar` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 97630, Requested 6762. Please try again in 1h3m14.688s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
ERROR | auditor | [AUDITOR] Phase 2 LLM call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kqhfszv8fw6rkht7d9cwv0ar` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 97630, Requested 5494. Please try again in 44m59.136s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
WARNING | auditor | [AUDITOR] Phase 2 FAIL — Hallucination detected
ERROR | generator | [GENERATOR] Groq API error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kqhfszv8fw6rkht7d9cwv0ar` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 97629, Requested 9179. Please try again in 1h38m2.112s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
WARNING | auditor | [AUDITOR] Phase 1 FAIL — Fidelity=0.08 < 0.35
ERROR | generator | [GENERATOR] Groq API error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kqhfszv8fw6rkht7d9cwv0ar` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 97629, Requested 6680. Please try again in 1h2m2.976s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
ERROR | auditor | [AUDITOR] Phase 2 LLM call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kqhfszv8fw6rkht7d9cwv0ar` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 97629, Requested 5314. Please try again in 42m22.752s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
WARNING | auditor | [AUDITOR] Phase 2 FAIL — Hallucination detected
ERROR | generator | [GENERATOR] Groq API error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kqhfszv8fw6rkht7d9cwv0ar` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 97629, Requested 6329. Please try again in 56m59.711999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
ERROR | auditor | [AUDITOR] Phase 2 LLM call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kqhfszv8fw6rkht7d9cwv0ar` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 97629, Requested 5058. Please try again in 38m41.568s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
WARNING | auditor | [AUDITOR] Phase 2 FAIL — Hallucination detected
ERROR | generator | [GENERATOR] Groq API error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kqhfszv8fw6rkht7d9cwv0ar` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 97628, Requested 4734. Please try again in 34m0.767999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
WARNING | auditor | [AUDITOR] Phase 1 FAIL — Fidelity=0.21 < 0.35
WARNING | retriever | [RETRIEVER] No company-specific chunks for 'None', using global top-k
ERROR | generator | [GENERATOR] Groq API error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kqhfszv8fw6rkht7d9cwv0ar` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 97628, Requested 7068. Please try again in 1h7m37.344s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
WARNING | auditor | [AUDITOR] Phase 1 FAIL — Fidelity=0.22 < 0.35
ERROR | generator | [GENERATOR] Groq API error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kqhfszv8fw6rkht7d9cwv0ar` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 97628, Requested 5327. Please try again in 42m33.12s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
WARNING | auditor | [AUDITOR] Phase 1 FAIL — Fidelity=0.00 < 0.35
ERROR | generator | [GENERATOR] Groq API error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kqhfszv8fw6rkht7d9cwv0ar` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 97628, Requested 4235. Please try again in 26m49.632s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
WARNING | auditor | [AUDITOR] Phase 1 FAIL — Fidelity=0.27 < 0.35
ERROR | generator | [GENERATOR] Groq API error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kqhfszv8fw6rkht7d9cwv0ar` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 97628, Requested 4354. Please try again in 28m32.448s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
WARNING | auditor | [AUDITOR] Phase 1 FAIL — Fidelity=0.00 < 0.35
WARNING | retriever | [RETRIEVER] Failed to load ..\data\claude\claude-api-and-console\using-the-claude-api-and-console\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md: [Errno 2] No such file or directory: '..\\data\\claude\\claude-api-and-console\\using-the-claude-api-and-console\\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md'
ERROR | generator | [GENERATOR] Groq API error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kqhfszv8fw6rkht7d9cwv0ar` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 96775, Requested 4377. Please try again in 16m35.328s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
WARNING | auditor | [AUDITOR] Phase 1 FAIL — Fidelity=0.06 < 0.35
WARNING | retriever | [RETRIEVER] Failed to load ..\data\claude\claude-api-and-console\using-the-claude-api-and-console\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md: [Errno 2] No such file or directory: '..\\data\\claude\\claude-api-and-console\\using-the-claude-api-and-console\\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md'
WARNING | retriever | [RETRIEVER] No company-specific chunks for 'None', using global top-k
WARNING | auditor | [AUDITOR] Phase 1 FAIL — Fidelity=0.09 < 0.35
WARNING | retriever | [RETRIEVER] No company-specific chunks for 'None', using global top-k
WARNING | auditor | [AUDITOR] Phase 1 FAIL — Fidelity=0.13 < 0.35
WARNING | auditor | [AUDITOR] Phase 1 FAIL — Fidelity=0.00 < 0.35
WARNING | retriever | [RETRIEVER] Failed to load ..\data\claude\claude-api-and-console\using-the-claude-api-and-console\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md: [Errno 2] No such file or directory: '..\\data\\claude\\claude-api-and-console\\using-the-claude-api-and-console\\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md'
WARNING | retriever | [RETRIEVER] No company-specific chunks for 'None', using global top-k
WARNING | retriever | [RETRIEVER] No company-specific chunks for 'None', using global top-k
WARNING | auditor | [AUDITOR] Phase 1 FAIL — Fidelity=0.29 < 0.35
WARNING | auditor | [AUDITOR] Phase 1 FAIL — Fidelity=0.00 < 0.35
WARNING | auditor | [AUDITOR] Phase 1 FAIL — Fidelity=0.00 < 0.35
WARNING | retriever | [RETRIEVER] Failed to load ..\data\claude\claude-api-and-console\using-the-claude-api-and-console\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md: [Errno 2] No such file or directory: '..\\data\\claude\\claude-api-and-console\\using-the-claude-api-and-console\\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md'
WARNING | auditor | [AUDITOR] Phase 1 FAIL — Fidelity=0.12 < 0.20
WARNING | retriever | [RETRIEVER] No company-specific chunks for 'None', using global top-k
WARNING | auditor | [AUDITOR] Phase 1 FAIL — Fidelity=0.05 < 0.20
WARNING | retriever | [RETRIEVER] No company-specific chunks for 'None', using global top-k
WARNING | auditor | [AUDITOR] Phase 1 FAIL — Fidelity=0.00 < 0.20
WARNING | retriever | [RETRIEVER] Failed to load ..\data\claude\claude-api-and-console\using-the-claude-api-and-console\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md: [Errno 2] No such file or directory: '..\\data\\claude\\claude-api-and-console\\using-the-claude-api-and-console\\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md'
WARNING | retriever | [RETRIEVER] No company-specific chunks for 'None', using global top-k
WARNING | retriever | [RETRIEVER] No company-specific chunks for 'None', using global top-k
WARNING | retriever | [RETRIEVER] Failed to load ..\data\claude\claude-api-and-console\using-the-claude-api-and-console\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md: [Errno 2] No such file or directory: '..\\data\\claude\\claude-api-and-console\\using-the-claude-api-and-console\\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md'
WARNING | retriever | [RETRIEVER] No company-specific chunks for 'None', using global top-k
WARNING | retriever | [RETRIEVER] No company-specific chunks for 'None', using global top-k
WARNING | retriever | [RETRIEVER] Failed to load ..\data\claude\claude-api-and-console\using-the-claude-api-and-console\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md: [Errno 2] No such file or directory: '..\\data\\claude\\claude-api-and-console\\using-the-claude-api-and-console\\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md'
WARNING | retriever | [RETRIEVER] No company-specific chunks for 'None', using global top-k
WARNING | retriever | [RETRIEVER] No company-specific chunks for 'None', using global top-k
WARNING | retriever | [RETRIEVER] Failed to load ..\data\claude\claude-api-and-console\using-the-claude-api-and-console\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md: [Errno 2] No such file or directory: '..\\data\\claude\\claude-api-and-console\\using-the-claude-api-and-console\\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md'
WARNING | retriever | [RETRIEVER] No company-specific chunks for 'None', using global top-k
WARNING | retriever | [RETRIEVER] No company-specific chunks for 'None', using global top-k
WARNING | retriever | [RETRIEVER] Failed to load ..\data\claude\claude-api-and-console\using-the-claude-api-and-console\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md: [Errno 2] No such file or directory: '..\\data\\claude\\claude-api-and-console\\using-the-claude-api-and-console\\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md'
WARNING | safety | [SAFETY_TRIGGER] CHARGEBACK_ESCALATION
WARNING | retriever | [RETRIEVER] No company-specific chunks for 'None', using global top-k
ERROR | generator | [GENERATOR] Groq API error: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01kqhfszv8fw6rkht7d9cwv0ar` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 7448, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
WARNING | auditor | [AUDITOR] Phase 1 FAIL — Fidelity=0.10 < 0.20
WARNING | safety | [SAFETY_TRIGGER] IDENTITY_THEFT_RISK
WARNING | safety | [SAFETY_TRIGGER] CHARGEBACK_ESCALATION
WARNING | safety | [SAFETY_TRIGGER] SECURITY_DISCLOSURE_REQUIRED
WARNING | safety | [SAFETY_TRIGGER] FINANCIAL_URGENCY_RISK
WARNING | safety | [SAFETY_TRIGGER] MALICIOUS_SYSTEM_REQUEST
WARNING | safety | [INJECTION_SUSPECTED] Language-specific trigger detected: fr + 'affiche'
WARNING | retriever | [RETRIEVER] Failed to load ..\data\claude\claude-api-and-console\using-the-claude-api-and-console\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md: [Errno 2] No such file or directory: '..\\data\\claude\\claude-api-and-console\\using-the-claude-api-and-console\\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md'
WARNING | retriever | [RETRIEVER] No company-specific chunks for 'None', using global top-k
WARNING | auditor | [AUDITOR] Phase 1 FAIL — Fidelity=0.32 < 0.40
WARNING | retriever | [RETRIEVER] No company-specific chunks for 'None', using global top-k
WARNING | auditor | [AUDITOR] Phase 1 FAIL — Fidelity=0.36 < 0.40
WARNING | retriever | [RETRIEVER] Failed to load ..\data\claude\claude-api-and-console\using-the-claude-api-and-console\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md: [Errno 2] No such file or directory: '..\\data\\claude\\claude-api-and-console\\using-the-claude-api-and-console\\9876003-i-have-a-paid-claude-subscription-pro-max-team-or-enterprise-plans-why-do-i-have-to-pay-separately-to-use-the-claude-api-and-console.md'
WARNING | safety | [SAFETY_TRIGGER] INTEGRITY_VIOLATION
WARNING | safety | [SAFETY_TRIGGER] FINANCIAL_CLAIM
WARNING | safety | [SAFETY_TRIGGER] FINANCIAL_CLAIM
WARNING | safety | [SAFETY_TRIGGER] PAYMENT_ISSUE
WARNING | auditor | [AUDITOR] Phase 1 FAIL — Fidelity=0.38 < 0.40
WARNING | auditor | [AUDITOR] Phase 1 FAIL — Fidelity=0.28 < 0.40
WARNING | retriever | [RETRIEVER] No company-specific chunks for 'None', using global top-k
WARNING | auditor | [AUDITOR] Phase 1 FAIL — Fidelity=0.25 < 0.40
ERROR | generator | [GENERATOR] Groq API error: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01kqhfszv8fw6rkht7d9cwv0ar` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 7525, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
WARNING | auditor | [AUDITOR] Phase 1 FAIL — Fidelity=0.10 < 0.40
WARNING | safety | [SAFETY_TRIGGER] IDENTITY_THEFT_RISK
WARNING | safety | [SAFETY_TRIGGER] SECURITY_DISCLOSURE_REQUIRED
WARNING | safety | [SAFETY_TRIGGER] FINANCIAL_URGENCY_RISK
WARNING | safety | [SAFETY_TRIGGER] MALICIOUS_SYSTEM_REQUEST
WARNING | safety | [INJECTION_SUSPECTED] Language-specific trigger detected: fr + 'affiche'
